Province,District,Candidate,Party,Total Votes,Year,Total Precentage,Considering Votes,TotalVotesByDistrict,Allocated Seats,Bonus,Seating Precentage Display,Seating Whole Numeric,Seats Won,Seats Won Whole,Seats Won Decimal,Remaining Seats,Final Seats Won
North Central Province,Anuradhapura,SAJITH PREMADASA,SJB,202289.0,2024,33.508976520906565,202289.0,570385.0,9.0,1,35.47%,0.3547,2.8376,2,0.8376000000000001,1,3
North Central Province,Anuradhapura,RANIL WICKREMESINGHE,IND16,82152.0,2024,13.60839906838986,82152.0,570385.0,9.0,1,14.40%,0.14400000000000002,1.1520000000000001,1,0.15200000000000014,0,1
North Central Province,Anuradhapura,ANURA KUMARA DISSANAYAKE,NPP,285944.0,2024,47.36634608057832,285944.0,570385.0,9.0,1,50.13%,0.5013000000000001,4.010400000000001,4,0.010400000000000631,0,5
North Central Province,Anuradhapura,SARATH MANAMENDRA,NSU,69.0,2024,0.0114297830329012,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,KEERTHIE WICKRAMARATNE,AJP,168.0,2024,0.0278290369496725,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,ABUBAKAR MOHAMED INFAS,DUA,259.0,2024,0.0429030986307451,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,PEMASIRI MANAGE,IND14,256.0,2024,0.0424061515423581,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,MAHINDA DEWAGE,SLSP,248.0,2024,0.0410809593066594,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,BATHTHARAMULLE SEELARATHANA THERO,JSP,226.0,2024,0.037436680658488,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,K.A. KULARATNA,IND6,204.0,2024,0.0337924020103166,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,SARATH BANDARANAYAKE,NDF,186.0,2024,0.0308107194799945,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,ARIYANETHIRAN PAKKIYASELVAM,IND9,155.0,2024,0.0256755995666621,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,MYLVAGANAM THILAKARAJAH,IND8,74.0,2024,0.0122580281802128,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,NUWAN BOPEGE,SPF,285.0,2024,0.0472099733967658,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,OSHALA HERATH,NIF,140.0,2024,0.023190864124727,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,LALITH DE SILVA,UNFF,124.0,2024,0.0205404796533297,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,ANURUDDHA ROSHAN RANASINGHE,IND15,106.0,2024,0.0175587971230076,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,99.0,2024,0.0163992539167713,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,JANAKA RATNAYAKE,ELPP,81.0,2024,0.0134175713864492,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,PANI WIJESIRIWARDENA,SEP,141.0,2024,0.0233565131541894,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,VICTOR PERERA,IND10,353.0,2024,0.0584741074002047,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,SIRITUNGA JAYASURIYA,USP,372.0,2024,0.0616214389599891,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,SARATH KEERTHIRATHNA,IND5,825.0,2024,0.1366604493064275,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,NAMAL RAJAPAKSA,SLPP,15029.0,2024,2.4895392637894536,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,DILITH JAYAWEERA,SLCP,3696.0,2024,0.6122388128927952,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,K.K. PIYADASA,IND4,1991.0,2024,0.3298072176595117,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,1770.0,2024,0.2931987821483354,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,WIJEYADASA RAJAPAKSHE,JPF,958.0,2024,0.1586917702249182,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,SARATH FONSEKA,IND12,880.0,2024,0.145771145926856,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,K.R. KRISHAN,APP,756.0,2024,0.1252306662735263,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,SIRIPALA AMARASINGHE,IND2,387.0,2024,0.0641061744019241,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,ANURUDDHA POLGAMPALA,IND11,754.0,2024,0.1248993682146016,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,NAMAL RAJAPAKSHA,SBP,575.0,2024,0.0952481919408434,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,AJANTHA DE ZOYSA,RJA,570.0,2024,0.0944199467935317,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,AKMEEMANA DAYARATHANA THERO,IND1,508.0,2024,0.0841497069668668,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,PRIYANTHA WICKRAMASINGHE,NSSP,508.0,2024,0.0841497069668668,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,480.0,2024,0.0795115341419214,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
North Central Province,Anuradhapura,A.S.P. LIYANAGE,SLLP,68.0,2024,0.0112641340034388,0.0,570385.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,ANURA KUMARA DISSANAYAKE,NPP,197283.0,2024,34.67651215276557,197283.0,532095.0,9.0,1,37.08%,0.37079999999999996,2.9663999999999997,2,0.9663999999999997,1,4
Uva Province,Badulla,RANIL WICKREMESINGHE,IND16,115138.0,2024,20.23785250754055,115138.0,532095.0,9.0,1,21.64%,0.2164,1.7312,1,0.7312000000000001,1,2
Uva Province,Badulla,SAJITH PREMADASA,SJB,219674.0,2024,38.61218721657023,219674.0,532095.0,9.0,1,41.28%,0.4128,3.3024,3,0.3024,0,3
Uva Province,Badulla,MYLVAGANAM THILAKARAJAH,IND8,122.0,2024,0.0214439890038036,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,KEERTHIE WICKRAMARATNE,AJP,258.0,2024,0.0453487636309946,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,NAMAL RAJAPAKSHA,SBP,460.0,2024,0.08085438476844,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,ARIYANETHIRAN PAKKIYASELVAM,IND9,446.0,2024,0.0783935991450527,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,BATHTHARAMULLE SEELARATHANA THERO,JSP,360.0,2024,0.0632773446013878,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,ABUBAKAR MOHAMED INFAS,DUA,357.0,2024,0.0627500333963763,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,OSHALA HERATH,NIF,320.0,2024,0.056246528534567,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,PANI WIJESIRIWARDENA,SEP,300.0,2024,0.0527311205011565,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,K.A. KULARATNA,IND6,237.0,2024,0.0416575851959136,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,A.S.P. LIYANAGE,SLLP,124.0,2024,0.0217955298071447,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,PEMASIRI MANAGE,IND14,466.0,2024,0.0819090071784632,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,SARATH BANDARANAYAKE,NDF,194.0,2024,0.0340994579240812,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,ANURUDDHA ROSHAN RANASINGHE,IND15,160.0,2024,0.0281232642672835,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,JANAKA RATNAYAKE,ELPP,156.0,2024,0.0274201826606014,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,141.0,2024,0.0247836266355435,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,LALITH DE SILVA,UNFF,139.0,2024,0.0244320858322025,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,MAHINDA DEWAGE,SLSP,209.0,2024,0.036736013949139,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,475.0,2024,0.0834909407934978,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,AJANTHA DE ZOYSA,RJA,503.0,2024,0.0884125120402725,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,PRIYANTHA WICKRAMASINGHE,NSSP,974.0,2024,0.1712003712270883,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,NAMAL RAJAPAKSA,SLPP,13869.0,2024,2.4377597007684684,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
Uva Province,Badulla,K.K. PIYADASA,IND4,3377.0,2024,0.5935766464413524,0.0,532095.0,9.0,1,0.00%,0.0,0.0,0,0.0,0,0
